Responsable,Experiment_Code,Harvest_Date,Plot_ID,Variety,Weight_(Kg),Operator
AS,2016-RUN-ST2-02,05/09/2016,85,3328-168,"29,9",AS
,2016-RUN-ST2-04,05/09/2016,85,3322-339,22,AS
AS,2016-VDQA-G14-57,05/09/2016,57,G14,93,AS
,2016-ECOVITI-GREN-T,06/09/2016,Montpellier,Grenache,200,CF
,2016-ECOVITI-GREN-INB,06/09/2016,Montpellier,Grenache,190,CF
,2016-ECOVITI-GREN-IPM,06/09/2016,Montpellier,Grenache,224,CF
AS,2016-RUN-ST2-08,08/09/2016,85,3322-226,14,AS
JMS,2016-VITIDUR-3160-R,09/09/2016,106-3160N,ESP-LYRE,118,
JMS,2016-QUALIVINBIO-3160,09/09/2016,106-360-N,ESP-LYRE,"118,6",
AS,2016-ECOVITI-MOUR-IPM,12/09/2016,Chapitre,Mourvèdre,0,FD
AS,2016-ECOVITI-MOUR-MIB,12/09/2016,Chapitre,Mourvèdre,0,FB
JM,2016-VDQA-G7-57,14/09/2016,57 G7,,"68,5",FB
JT,2016-VDQA-G2-57,13/09/2016,57 G2+G7,,"401,5",
,2016-PULVGLUT-SYR-T,13/09/2016,72,SYRAH,40,
,2016-PULVGLUT-SYR-N,,72,SYRAH,40,
AS,2016-BOUQ-CABES,,72-NV-MARSELAN,Cabestrel,153,
AS,2016-BOUQ-MARS,15/09/2016,72-NV-MARSELAN,Marselan,129,
AS,2016-RUN-ST3-11,15/09/2016,85-RUN,3161-22-4,102,FG
AS,2016-RUN-ST2-03,15/09/2016,85-RUN-3322-343-N,3322-343,51,
AS,2016-RUN-ST2-07,15/09/2016,85,3322178,37,
AS,2016-RUN-ST2-05,15/09/2016,85,3328-306,45,
AS,2016-VITIDUR-3160-MT,19/09/2016,106,3160,0,FB-F
AS,2016-RUN-ST2-01,19/09/2016,85-RUN,3294-57,"9,8",
AS,2016-RUN-ST2-06,19/09/2016,85-RUN,33286177,"23,1",CF
AS,2016-RUN-ST3-09,19/09/2016,85-RUN,3160-27-4,60,
AS,2016-RUN-ST3-16,23/09/2016,,3322-285,"8,25",
JMS,2016-VITIDUR-3176-R,22/09/2016,106-3176N,Rge,445,
JMS,2016-QUALIVINBIO-3176,22/09/2016,106-3176N,Rge,470,
AS,2016-VITIDUR-3160-T,09/09/2016,106,3160,"95,7",O
AS,2016-VITIDUR-3176-T,22/09/2016,106-3176N,119,
